"inner_group,region,subgroup1,subgroup,the_group,type_group,amount,date_key,budget,type,date,currency",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,-16664935904,202202,16876940811,YTD,Feb  1 2022 12:00AM,IDR",,
"Other Data,ENLA,Direct Cost,COE,Data,Recurring Business,1789759377,202202,2676090000,YTD,Feb  1 2022 12:00AM,IDR",,
"IPLC/IEPL,ROAM,Direct Cost,COE,Data,Recurring Business,6889574541,202302,0,YTD,Feb  1 2023 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,-77334734504,202302,81368558496,YTD,Feb  1 2023 12:00AM,IDR",,
"Other Data,SEAN,Revenue,Revenue,Data,Recurring Business,-13522263899,202302,12765622176,YTD,Feb  1 2023 12:00AM,IDR",,
"Security,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Infrastructure,ROAM,Direct Cost,COE,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Infrastructure,ENLA,Revenue,Revenue,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"IP Transit,SEAN,Direct Cost,COE,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"IPLC/IEPL,ROAM,Direct Cost,COE,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"IPLC/IEPL,ENLA,Revenue,Revenue,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Other Data,SEAN,Revenue,Revenue,Data,Recurring Business,0,201712,0,YTD,Dec  1 2017 12:00AM,USD",,
"Infrastructure,ROAM,Direct Cost,COE,Data,Recurring Business,0,201804,0,YTD,Apr  1 2018 12:00AM,USD",,
"Infrastructure,ENLA,Revenue,Revenue,Data,Recurring Business,0,201804,0,YTD,Apr  1 2018 12:00AM,USD",,
"Infrastructure,SEAN,Revenue,Revenue,Data,Recurring Business,0,201804,0,YTD,Apr  1 2018 12:00AM,USD",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,0,201804,0,YTD,Apr  1 2018 12:00AM,USD",,
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,0,201804,0,YTD,Apr  1 2018 12:00AM,USD",,
"Security,ENLA,Direct Cost,COE,Digital Business,Recurring Business,531273","0399,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,295103","8256,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Data Center,ROAM,Revenue,Revenue,Data Center,Recurring Business,-305754","3214,202302,378832,YTD,Feb  1 2023 12:00AM,USD",
"Data Center ,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,202302,0,YTD,Feb  1 2023 12:00AM,USD",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,2","629384985,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,256899","9283,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,-712427","90,432,023,021,879,700","532,YTD,Feb  1 2023 12:00AM,USD"
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,1459946","338,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,127559","3413,202302,0,YTD,Feb  1 2023 12:00AM,USD",
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,-18542080","5,820,220,520,193,650","71,YTD,May  1 2022 12:00AM,USD"
"IP Transit,SEAN,Direct Cost,COE,Data,Recurring Business,9577325","5,662,022,057,536,980","578,YTD,May  1 2022 12:00AM,USD"
"IPLC/IEPL,ROAM,Revenue,Revenue,Data,Recurring Business,-2296468","612,022,052,552,485","623,YTD,May  1 2022 12:00AM,USD"
"Voice,Existing Source,Direct Cost,COE,MVNO,Retail,528778","4,176,202,012,701,100","7811,YTD,Dec  1 2020 12:00AM,USD"
"Other Digital,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,5717462","5,972,020,124,453,590","69,YTD,Dec  1 2020 12:00AM,USD"
"Discount,Existing Source,Revenue,Revenue,MVNO,Retail,494432","621,202012,-532115","3846,YTD,Dec  1 2020 12:00AM,USD"
"IP VPN,Existing Source,Revenue,Revenue,Data,Recurring Business,-9595165","8,592,020,079,495,970","156,YTD,Jul  1 2020 12:00AM,USD"
"Data Center,Existing Source,Revenue,Revenue,MNO,Retail,-5790895","162,020,075,788,475","268,YTD,Jul  1 2020 12:00AM,USD"
"VAS,Existing Source,Revenue,Revenue,MVNO,Retail,-2817706","2,862,020,071,473,250","385,YTD,Jul  1 2020 12:00AM,USD"
"Security,Existing Source,Revenue,Revenue,Digital Business,Recurring Business,-1","35556E+13,201703,0,YTD,Mar  1 2017 12:00AM,IDR",
"IPLC/IEPL,Existing Source,Revenue,Revenue,Data,Recurring Business,7","34699E+12,201703,0,MTD,Mar  1 2017 12:00AM,IDR",
"VAS,Existing Source,Revenue,Revenue,MVNO,Retail,-2136133938,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"PKSO,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-1","19141E+11,201703,0,YTD,Mar  1 2017 12:00AM,IDR",
"IPLC/IEPL,Existing Source,Direct Cost,COE,Data,Recurring Business,7987497045,201704,0,MTD,Apr  1 2017 12:00AM,IDR",,
"Data,Existing Source,Direct Cost,COE,MVNO,Retail,15079585260,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"O&M Expense,Existing Source,Indirect Cost,COE,O&M Expense,,72942550637,201704,0,MTD,Apr  1 2017 12:00AM,IDR",,
"Other Data,Existing Source,Direct Cost,COE,Data,Recurring Business,11589364555,201704,0,MTD,Apr  1 2017 12:00AM,IDR",,
"Other Digital,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,3259161458,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Personnel Expense,Existing Source,Indirect Cost,COE,Personnel Expense,,-9","86887E+11,201704,0,MTD,Apr  1 2017 12:00AM,IDR",
"Security,Existing Source,Revenue,Revenue,Digital Business,Recurring Business,1","35385E+13,201704,0,MTD,Apr  1 2017 12:00AM,IDR",
"iSMS Hubbing,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Data,Existing Source,Revenue,Revenue,MVNO,Retail,-7933294173,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"SMS,Existing Source,Revenue,Revenue,MVNO,Retail,-221274664","1,201704,0,MTD,Apr  1 2017 12:00AM,IDR",
"VAS,Existing Source,Revenue,Revenue,MVNO,Retail,-63391598350,201704,0,MTD,Apr  1 2017 12:00AM,IDR",,
"Other Digital,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-8976904253,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Voice,Existing Source,Revenue,Revenue,Voice,NULL,-1","26516E+13,201704,0,MTD,Apr  1 2017 12:00AM,IDR",
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,-10475089830,201705,0,MTD,May  1 2017 12:00AM,IDR",,
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,1","95042E+11,201705,0,YTD,May  1 2017 12:00AM,IDR",
"Other Data,Existing Source,Direct Cost,COE,MNO,Retail,5997008193,201906,0,YTD,Jun  1 2019 12:00AM,IDR",,
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-47952918","33,201906,0,MTD,Jun  1 2019 12:00AM,IDR",
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-90285400","52,201906,0,YTD,Jun  1 2019 12:00AM,IDR",
"PKSO,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-12916666667,201906,0,MTD,Jun  1 2019 12:00AM,IDR",,
"PKSO,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-85000000002,201906,0,YTD,Jun  1 2019 12:00AM,IDR",,
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,7246188211,201907,0,MTD,Jul  1 2019 12:00AM,IDR",,
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,40233054516,201907,0,YTD,Jul  1 2019 12:00AM,IDR",,
"IAT,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,0,201907,0,MTD,Jul  1 2019 12:00AM,IDR",,
"IAT,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,0,201907,0,YTD,Jul  1 2019 12:00AM,IDR",,
"SMS,Existing Source,Direct Cost,COE,MVNO,Retail,10444986","92,201907,0,MTD,Jul  1 2019 12:00AM,IDR",
"VAS,Existing Source,Direct Cost,COE,MVNO,Retail,3425852393,201907,0,MTD,Jul  1 2019 12:00AM,IDR",,
"Satellite,Existing Source,Direct Cost,COE,Satellite,,687322626","7,201907,0,MTD,Jul  1 2019 12:00AM,IDR",
"Satellite,Existing Source,Direct Cost,COE,Satellite,,4439383024,201907,0,YTD,Jul  1 2019 12:00AM,IDR",,
"Voice,Existing Source,Direct Cost,COE,Voice,,2","09668E+11,201907,0,MTD,Jul  1 2019 12:00AM,IDR",
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-219270769,202309,-246679070","1,MTD,Sep  1 2023 12:00AM,IDR",
"Data Center ,Existing Source,Revenue,Revenue,Data Center,Recurring Business,-6","68457E+11,202309,6","22911E+11,YTD,Sep  1 2023 12:00AM,IDR"
"IP Transit,Existing Source,Revenue,Revenue,Data,Recurring Business,-1","52133E+11,202309,1","6887E+11,MTD,Sep  1 2023 12:00AM,IDR"
"SMS,Existing Source,Revenue,Revenue,MVNO,Retail,-38423866,202309,20969845","78,MTD,Sep  1 2023 12:00AM,IDR",
"NeuTRAFIX,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-5000269207,202309,8554340625,YTD,Sep  1 2023 12:00AM,IDR",,
"Other Data,Existing Source,Revenue,Revenue,Data,Recurring Business,-9402196841,202309,12043960447,MTD,Sep  1 2023 12:00AM,IDR",,
"Voice Hubbing,Existing Source,Direct Cost,COE,Voice,Trading Wholesale Business,20602413","1,620,230,120,596,010","07,YTD,Jan  1 2023 12:00AM,USD"
"Security,Existing Source,Revenue,Revenue,Digital Business,Recurring Business,-319342","5,146,202,301,319,240","124,YTD,Jan  1 2023 12:00AM,USD"
"Data Center ,Existing Source,Revenue,Revenue,Data Center,Recurring Business,-42423","8,800,820,230,142,410","67627,YTD,Jan  1 2023 12:00AM,USD"
"VAS,Existing Source,Revenue,Revenue,MVNO,Retail,-231067","15,202,301,230,995","2338,YTD,Jan  1 2023 12:00AM,USD"
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,1550018","2,022,023,021,541,170","249,YTD,Feb  1 2023 12:00AM,USD"
"Wifi Roaming,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-418","2,136,472,202,309,380","5417354,YTD,Sep  1 2023 12:00AM,USD"
"PKSO,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,-11871872","1,920,201,212,065,200","85,YTD,Dec  1 2020 12:00AM,USD"
"G&A Expense,Existing Source,Indirect Cost,COE,G&A Expense,,14423860","1,920,201,218,569,380","74,YTD,Dec  1 2020 12:00AM,USD"
"BPO,Existing Source,Revenue,Revenue,BPO,Others,-4830120","492,020,126,162,624","774,YTD,Dec  1 2020 12:00AM,USD"
"IP VPN,Existing Source,Revenue,Revenue,Data,Recurring Business,-16992850","2,520,201,216,882,120","96,YTD,Dec  1 2020 12:00AM,USD"
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,7731336","3,992,020,078,112,220","951,YTD,Jul  1 2020 12:00AM,USD"
"Data Center,Existing Source,Direct Cost,COE,MNO,Retail,484054","7,627,202,007,608,710","7161,YTD,Jul  1 2020 12:00AM,USD"
"Fee,Existing Source,Direct Cost,COE,MVNO,Retail,67223","6,520,200,740,485","57692,YTD,Jul  1 2020 12:00AM,USD"
"O&M Expense,Existing Source,Indirect Cost,COE,O&M Expense,,20169349","3,920,200,726,490,080","46,YTD,Jul  1 2020 12:00AM,USD"
"Other Data,Existing Source,Direct Cost,COE,Data,Recurring Business,4645498","9,992,020,074,172,700","716,YTD,Jul  1 2020 12:00AM,USD"
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,22765474","720,231,023,914,444","44,YTD,Oct  1 2023 12:00AM,USD"
"Digital Retail,Existing Source,Direct Cost,COE,MVNO,Retail,3972865","5,872,023,101,845,610","339,YTD,Oct  1 2023 12:00AM,USD"
"Fee,Existing Source,Direct Cost,COE,MVNO,Retail,36149","620,231,048,275","17496,YTD,Oct  1 2023 12:00AM,USD"
"NeuTRAFIX,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,25000","600,120,231,089,879","63261,YTD,Oct  1 2023 12:00AM,USD"
"Other Data,Existing Source,Direct Cost,COE,Data,Recurring Business,3420279","7,552,023,104,000,910","963,YTD,Oct  1 2023 12:00AM,USD"
"IPX,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-1641349","614,202,310,961,750","682,YTD,Oct  1 2023 12:00AM,USD"
"IP Transit,Existing Source,Direct Cost,COE,Data,Recurring Business,17705170","12,201806,0,YTD,Jun  1 2018 12:00AM,USD",
"Data Center ,Existing Source,Direct Cost,COE,Data Center,Recurring Business,21474285","3,720,211,115,669,210","33,YTD,Nov  1 2021 12:00AM,USD"
"BPO,Existing Source,Direct Cost,COE,BPO,Others,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"IAT,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,3091205","2,762,021,111,937,850","123,YTD,Nov  1 2021 12:00AM,USD"
"iSMS Hubbing,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,131729275","220,211,189,620,100","03,YTD,Nov  1 2021 12:00AM,USD"
"Digital Retail,Existing Source,Direct Cost,COE,MVNO,Retail,281627","32,202,111,686,089","1821,YTD,Nov  1 2021 12:00AM,USD"
"Voice,Existing Source,Direct Cost,COE,MVNO,Retail,342353","881,202,111,458,201","2155,YTD,Nov  1 2021 12:00AM,USD"
"BPO,Existing Source,Revenue,Revenue,BPO,Others,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"Data Center,Existing Source,Revenue,Revenue,Data Center,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"IP VPN,Existing Source,Revenue,Revenue,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"Data,Existing Source,Revenue,Revenue,MVNO,Retail,0,201710,0,YTD,Oct  1 2017 12:00AM,USD",,
"Marketing Expense,Existing Source,Indirect Cost,COE,Marketing Expense,,2043606","54,201905,0,YTD,May  1 2019 12:00AM,USD",
"VAS,Existing Source,Direct Cost,COE,MVNO,Retail,1016448","52,201905,0,YTD,May  1 2019 12:00AM,USD",
"IAT,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-13095","34128,201905,0,YTD,May  1 2019 12:00AM,USD",
"IAT,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,1164780","892,020,071,222,756","31,YTD,Jul  1 2020 12:00AM,USD"
"Voice,Existing Source,Direct Cost,COE,MVNO,Retail,309452","3,634,202,007,428,930","5285,YTD,Jul  1 2020 12:00AM,USD"
"Personnel Expense,Existing Source,Indirect Cost,COE,Personnel Expense,,16961225","9,220,200,718,327,230","86,YTD,Jul  1 2020 12:00AM,USD"
"IP Transit,Existing Source,Revenue,Revenue,Data,Recurring Business,-47017297","1,620,200,749,115,730","33,YTD,Jul  1 2020 12:00AM,USD"
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,11046267990,202008,0,MTD,Aug  1 2020 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,-30303056446,202008,0,MTD,Aug  1 2020 12:00AM,IDR",,
"Other Data,SEAN,Direct Cost,COE,Data,Recurring Business,9963006044,202008,0,MTD,Aug  1 2020 12:00AM,IDR",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,202008,0,YTD,Aug  1 2020 12:00AM,IDR",,
"Data Center ,SEAN,Direct Cost,COE,Data Center,Recurring Business,0,202008,0,YTD,Aug  1 2020 12:00AM,IDR",,
"Data Center,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,202008,0,YTD,Aug  1 2020 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,202008,0,YTD,Aug  1 2020 12:00AM,IDR",,
"Go Presence,ENLA,Revenue,Revenue,Digital Business,Recurring Business,0,202008,0,YTD,Aug  1 2020 12:00AM,IDR",,
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,0,202008,0,YTD,Aug  1 2020 12:00AM,IDR",,
"Security,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,201709,0,YTD,Sep  1 2017 12:00AM,IDR",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201709,0,YTD,Sep  1 2017 12:00AM,IDR",,
"Data Center ,SEAN,Direct Cost,COE,Data Center,Recurring Business,0,201709,0,YTD,Sep  1 2017 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201709,0,YTD,Sep  1 2017 12:00AM,IDR",,
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,0,201709,0,YTD,Sep  1 2017 12:00AM,IDR",,
"IP VPN,SEAN,Direct Cost,COE,Data,Recurring Business,31435178788,201710,0,MTD,Oct  1 2017 12:00AM,IDR",,
"Security,ENLA,Revenue,Revenue,Digital Business,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,IDR",,
"Infrastructure,SEAN,Revenue,Revenue,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,IDR",,
"Data Center ,ENLA,Revenue,Revenue,Data Center,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,IDR",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,IDR",,
"IP Transit,SEAN,Revenue,Revenue,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,IDR",,
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,0,201710,0,YTD,Oct  1 2017 12:00AM,IDR",,
"Go Presence,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-41164910,202001,0,MTD,Jan  1 2020 12:00AM,IDR",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,-18425616527,202001,0,MTD,Jan  1 2020 12:00AM,IDR",,
"Security,ROAM,Direct Cost,COE,Digital Business,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Security,ENLA,Revenue,Revenue,Digital Business,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Infrastructure,SEAN,Revenue,Revenue,Data,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Data Center ,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Data Center,ROAM,Direct Cost,COE,Data Center,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Equipment and Solution,ENLA,Revenue,Revenue,Data Center,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,0,202001,0,YTD,Jan  1 2020 12:00AM,IDR",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-5646391829,202002,0,MTD,Feb  1 2020 12:00AM,IDR",,
"IP VPN,ROAM,Direct Cost,COE,Data,Recurring Business,0,202002,0,YTD,Feb  1 2020 12:00AM,IDR",,
"IP VPN,ENLA,Revenue,Revenue,Data,Recurring Business,0,202002,0,YTD,Feb  1 2020 12:00AM,IDR",,
"Go Presence,SEAN,Revenue,Revenue,Digital Business,Recurring Business,-42887694,202003,0,MTD,Mar  1 2020 12:00AM,IDR",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,-25842554483,202003,0,MTD,Mar  1 2020 12:00AM,IDR",,
"Data Center,ENLA,Revenue,Revenue,Data Center,Recurring Business,-292350442","4,202206,0,YTD,Jun  1 2022 12:00AM,IDR",
"Satellite,Existing Source,Direct Cost,COE,Satellite,,0,201808,0,YTD,Aug  1 2018 12:00AM,IDR",,
"Voice,Existing Source,Direct Cost,COE,Voice,,2","39022E+11,201808,0,YTD,Aug  1 2018 12:00AM,IDR",
"Wifi Roaming,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,0,201808,0,MTD,Aug  1 2018 12:00AM,IDR",,
" Voice,Existing Source,Revenue,Revenue,MVNO,Retail,0,201808,0,MTD,Aug  1 2018 12:00AM,IDR",,
"Other Digital,Existing Source,Revenue,Revenue,Digital Business,Trading Wholesale Business,-21959730,201808,0,MTD,Aug  1 2018 12:00AM,IDR",,
"BPO,Existing Source,Direct Cost,COE,BPO,Others,1227787862,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,0,201809,0,MTD,Sep  1 2018 12:00AM,IDR",,
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,31735073687,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"Other Data,Existing Source,Direct Cost,COE,MNO,Retail,685762763","8,201809,0,MTD,Sep  1 2018 12:00AM,IDR",
"Other Data,Existing Source,Direct Cost,COE,MNO,Retail,5402402038,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"VAS,Existing Source,Direct Cost,COE,MVNO,Retail,0,201809,0,MTD,Sep  1 2018 12:00AM,IDR",,
"O&M Expense,Existing Source,Indirect Cost,COE,O&M Expense,,1","18981E+11,201809,0,YTD,Sep  1 2018 12:00AM,IDR",
"Satellite,Existing Source,Direct Cost,COE,Satellite,,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"Agent Fee,Existing Source,Revenue,Revenue,Managed Service,Trading Wholesale Business,0,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"IP Transit,Existing Source,Revenue,Revenue,Data,Recurring Business,2931600359,201809,0,YTD,Sep  1 2018 12:00AM,IDR",,
"iSMS Hubbing,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,3","95087E+11,201907,0,YTD,Jul  1 2019 12:00AM,IDR",
"Fee,Existing Source,Direct Cost,COE,MVNO,Retail,191202371","1,201907,0,MTD,Jul  1 2019 12:00AM,IDR",
"Voice,Existing Source,Direct Cost,COE,MVNO,Retail,1384447621,201907,0,MTD,Jul  1 2019 12:00AM,IDR",,
"Personnel Expense,Existing Source,Indirect Cost,COE,Personnel Expense,,2","28795E+11,201907,0,YTD,Jul  1 2019 12:00AM,IDR",
"Security,Existing Source,Revenue,Revenue,Digital Business,Recurring Business,-51666824324,201907,0,YTD,Jul  1 2019 12:00AM,IDR",,
"Infrastructure,ENLA,Direct Cost,COE,Data,Recurring Business,5141238822,202306,0,YTD,Jun  1 2023 12:00AM,IDR",,
"Data Center ,ROAM,Direct Cost,COE,Data Center,Recurring Business,66133580","99,202306,0,YTD,Jun  1 2023 12:00AM,IDR",
"Data Center ,ENLA,Revenue,Revenue,Data Center,Recurring Business,-1954793","025,202306,0,YTD,Jun  1 2023 12:00AM,IDR",
"Go Presence,ENLA,Direct Cost,COE,Digital Business,Recurring Business,0,202306,0,YTD,Jun  1 2023 12:00AM,IDR",,
"IP Transit,ROAM,Revenue,Revenue,Data,Recurring Business,-19548034702,202306,33371152940,YTD,Jun  1 2023 12:00AM,IDR",,
"IP VPN,ROAM,Revenue,Revenue,Data,Recurring Business,-16966868334,202306,18063590118,YTD,Jun  1 2023 12:00AM,IDR",,
"IPLC/IEPL,ENLA,Direct Cost,COE,Data,Recurring Business,45044399623,202306,0,YTD,Jun  1 2023 12:00AM,IDR",,
"Other Data,ROAM,Revenue,Revenue,Data,Recurring Business,-4239012409,202306,5224528445,YTD,Jun  1 2023 12:00AM,IDR",,
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,-5459995240,202305,14368479315,MTD,May  1 2023 12:00AM,IDR",,
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,835868195","1,202305,0,MTD,May  1 2023 12:00AM,IDR",
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,-2158536705,202305,4159135512,MTD,May  1 2023 12:00AM,IDR",,
"Security,SEAN,Direct Cost,COE,Digital Business,Recurring Business,628776675","9,202305,0,YTD,May  1 2023 12:00AM,IDR",
"Data Center ,ROAM,Direct Cost,COE,Data Center,Recurring Business,3705353296,202305,0,YTD,May  1 2023 12:00AM,IDR",,
"Data Center ,ENLA,Revenue,Revenue,Data Center,Recurring Business,303774782","5,202305,0,YTD,May  1 2023 12:00AM,IDR",
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,-4574074654,202305,0,YTD,May  1 2023 12:00AM,IDR",,
"Go Presence,ROAM,Direct Cost,COE,Digital Business,Recurring Business,0,202305,0,YTD,May  1 2023 12:00AM,IDR",,
"IP Transit,ENLA,Direct Cost,COE,Data,Recurring Business,12169965855,202305,0,YTD,May  1 2023 12:00AM,IDR",,
"IP VPN,SEAN,Revenue,Revenue,Data,Recurring Business,-46173802888,202305,39198056123,YTD,May  1 2023 12:00AM,IDR",,
"Other Data,ENLA,Direct Cost,COE,Data,Recurring Business,5174243589,202305,0,YTD,May  1 2023 12:00AM,IDR",,
"Other Voice,Existing Source,Revenue,Revenue,Voice,Trading Wholesale Business,-16522822,202309,0,YTD,Sep  1 2023 12:00AM,IDR",,
"Voice Hubbing,Existing Source,Revenue,Revenue,Voice,Trading Wholesale Business,-3","4067E+11,202309,2","57945E+11,MTD,Sep  1 2023 12:00AM,IDR"
"Voice Outgoing,Existing Source,Revenue,Revenue,Voice,Trading Wholesale Business,-4231538799,202309,3220893499,MTD,Sep  1 2023 12:00AM,IDR",,
"Business Solution Provider,Existing Source,Direct Cost,COE,Digital Business,Trading Wholesale Business,3346427,202310,0,MTD,Oct  1 2023 12:00AM,IDR",,
"Security,Existing Source,Direct Cost,COE,Digital Business,Recurring Business,1547911100,202310,7262908972,MTD,Oct  1 2023 12:00AM,IDR",,
"Data Center Sale of Equipment and Solution,Existing Source,Direct Cost,COE,Data Center,Recurring Business,7224760657,202310,14112310699,YTD,Oct  1 2023 12:00AM,IDR",,
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,10380770608,202310,11193635955,MTD,Oct  1 2023 12:00AM,IDR",,
"IP VPN,Existing Source,Direct Cost,COE,Data,Recurring Business,1","10091E+11,202310,1","10666E+11,YTD,Oct  1 2023 12:00AM,IDR"
