"inner_group,region,subgroup1,subgroup,the_group,type_group,amount,date_key,budget,type,date,currency",,
"Data Center ,ENLA,Revenue,Revenue,Data Center,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"IP VPN,ROAM,Direct Cost,COE,Data,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"IP VPN,ENLA,Revenue,Revenue,Data,Recurring Business,0,201703,0,YTD,Mar  1 2017 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,-15642517","3,201704,0,MTD,Apr  1 2017 12:00AM,IDR",
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"Go Presence,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,0,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,29403943930,201704,0,YTD,Apr  1 2017 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,4081595519,201806,0,MTD,Jun  1 2018 12:00AM,IDR",,
"Security,SEAN,Revenue,Revenue,Digital Business,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"Data Center ,SEAN,Revenue,Revenue,Data Center,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"IP Transit,ROAM,Direct Cost,COE,Data,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"IP Transit,ENLA,Revenue,Revenue,Data,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,28221900","56,201806,0,YTD,Jun  1 2018 12:00AM,IDR",
"Other Data,ROAM,Direct Cost,COE,Data,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"Other Data,ENLA,Revenue,Revenue,Data,Recurring Business,0,201806,0,YTD,Jun  1 2018 12:00AM,IDR",,
"Infrastructure,SEAN,Revenue,Revenue,Data,Recurring Business,0,201807,0,YTD,Jul  1 2018 12:00AM,IDR",,
"Go Presence,ROAM,Revenue,Revenue,Digital Business,Recurring Business,0,201807,0,YTD,Jul  1 2018 12:00AM,IDR",,
"IP Transit,ENLA,Direct Cost,COE,Data,Recurring Business,0,201807,0,YTD,Jul  1 2018 12:00AM,IDR",,
"IP VPN,ENLA,Direct Cost,COE,Data,Recurring Business,0,201807,0,YTD,Jul  1 2018 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Revenue,Revenue,Data,Recurring Business,0,201807,0,YTD,Jul  1 2018 12:00AM,IDR",,
"Other Data,ENLA,Direct Cost,COE,Data,Recurring Business,0,201807,0,YTD,Jul  1 2018 12:00AM,IDR",,
"Go Presence,SEAN,Direct Cost,COE,Digital Business,Recurring Business,0,201908,0,MTD,Aug  1 2019 12:00AM,IDR",,
"IPLC/IEPL,SEAN,Direct Cost,COE,Data,Recurring Business,23033540","51,201908,0,MTD,Aug  1 2019 12:00AM,IDR",
"Security,ENLA,Direct Cost,COE,Digital Business,Recurring Business,0,201908,0,YTD,Aug  1 2019 12:00AM,IDR",,
"Infrastructure,SEAN,Direct Cost,COE,Data,Recurring Business,0,201908,0,YTD,Aug  1 2019 12:00AM,IDR",,
"Data Center ,ROAM,Direct Cost,COE,Data Center,Recurring Business,0,201908,0,YTD,Aug  1 2019 12:00AM,IDR",,
"Data Center ,ROAM,Revenue,Revenue,Data Center,Recurring Business,0,201908,0,YTD,Aug  1 2019 12:00AM,IDR",,
"Data Center ,ENLA,Direct Cost,COE,Data Center,Recurring Business,0,201908,0,YTD,Aug  1 2019 12:00AM,IDR",,
