date_key,customer,bandwidth,subgroup,subgroup1,the_group,inner_group,inex,currency,type,date
202312,Conversant,0,Revenue,Revenue,Data,CDN Infrastructure,External,IDR,YTD,2023-12-01 00:00:00.000
202312,Expereo,361,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2023-12-01 00:00:00.000
202312,KBRI,165,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2023-12-01 00:00:00.000
202312,Microsoft,510,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2023-12-01 00:00:00.000
202312,Orange Business Services,3487.5625,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2023-12-01 00:00:00.000
202312,Telekom Malaysia,10,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2023-12-01 00:00:00.000
202312,Telkom DGS,100,Revenue,Revenue,Data,IP Transit,Internal,IDR,YTD,2023-12-01 00:00:00.000
202312,Telkom DSO,8862890.625,Revenue,Revenue,Data,IP Transit,Internal,IDR,YTD,2023-12-01 00:00:00.000
202312,Telstra,210000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2023-12-01 00:00:00.000
202401,,20,Revenue,Revenue,Data,Other Data,,IDR,YTD,2024-01-01 00:00:00.000
202401,Amazon,1432000,Revenue,Revenue,Data,IPLC/IEPL,External,IDR,YTD,2024-01-01 00:00:00.000
202401,Amazon,0,Revenue,Revenue,Data,Other Data,External,IDR,YTD,2024-01-01 00:00:00.000
202401,China Telecom,900,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2024-01-01 00:00:00.000
202401,Conversant,0,Revenue,Revenue,Data,CDN Infrastructure,External,IDR,YTD,2024-01-01 00:00:00.000
202401,Expereo,361,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-01-01 00:00:00.000
202401,KBRI,165,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-01-01 00:00:00.000
202401,Microsoft,510,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2024-01-01 00:00:00.000
202401,NTT Communications,100004,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-01-01 00:00:00.000
202401,Orange Business Services,100,Revenue,Revenue,Data,IP Transit,External,USD,YTD,2024-01-01 00:00:00.000
202401,Orange Business Services,3477.5625,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-01-01 00:00:00.000
202401,Orange Business Services,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2024-01-01 00:00:00.000
202401,PCCW,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-01-01 00:00:00.000
202401,Telkom DSO,8812000,Revenue,Revenue,Data,IP Transit,Internal,IDR,YTD,2024-01-01 00:00:00.000
202402,Akamai International B.V,1850000,Revenue,Revenue,Data,CDN Infrastructure,External,USD,YTD,2024-02-01 00:00:00.000
202402,Bharti,100007,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-02-01 00:00:00.000
202402,Edgecast Networks,0,Revenue,Revenue,Data,CDN Infrastructure,External,USD,YTD,2024-02-01 00:00:00.000
202402,JAPFA,125,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-02-01 00:00:00.000
202402,Meiloon,40,Revenue,Revenue,Data,IP VPN,External,IDR,YTD,2024-02-01 00:00:00.000
202402,Nevigate Communication,20,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-02-01 00:00:00.000
202402,Orange Business Services,3709.5625,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-02-01 00:00:00.000
202402,PLDT,10000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-02-01 00:00:00.000
202402,Telekom Malaysia,100000,Revenue,Revenue,Data,IPLC/IEPL,External,USD,YTD,2024-02-01 00:00:00.000
202402,Verizon,0,Revenue,Revenue,Data,Other Data,External,USD,YTD,2024-02-01 00:00:00.000
202403,Amazon,560000,Revenue,Revenue,Data,IP Transit,External,IDR,YTD,2024-03-01 00:00:00.000
202403,China Unicom,2,Revenue,Revenue,Data,IP VPN,External,USD,YTD,2024-03-01 00:00:00.000
202403,Conversant,1150000,Revenue,Revenue,Data,IP Transit,External,IDR,YTD,2024-03-01 00:00:00.000
